Year,Rank,Title,Website,Employees,Sector,Industry,Hqlocation,Hqaddr,Hqcity,Hqstate,Hqzip,Hqtel,Ceo,Ceo-title,Address,Ticker,Fullname,Revenues,Profits,Assets
2017,94,3M,http://www.3m.com,91584,Industrials,Miscellaneous,"St. Paul, MN",3M Center,St. Paul,MN,55144,651-733-1110,Inge G. Thulin,"Chairman, President & Chief Executive Officer","3M Center, St. Paul, MN 55144",MMM,3M Company,30109,5050,32906
2015,98,3M,http://www.3m.com,91584,Industrials,Miscellaneous,"St. Paul, MN",3M Center,St. Paul,MN,55144,651-733-1110,Inge G. Thulin,"Chairman, President & Chief Executive Officer","3M Center, St. Paul, MN 55144",MMM,3M,30109,32906,5050
2017,135,Abbott Laboratories,http://www.abbott.com,75000,Health Care,Medical Products and Equipment,"Abbott Park, IL",100 Abbott Park Rd.,Abbott Park,IL,60064,224-667-6100,Miles D. White,Chairman & Chief Executive Officer,"100 Abbott Park Rd., Abbott Park, IL 60064",ABT,Abbott Laboratories,20853,1400,52666
2015,134,Abbott Laboratories,http://www.abbott.com,75000,Health Care,Medical Products and Equipment,"Abbott Park, IL",100 Abbott Park Rd.,Abbott Park,IL,60064,224-667-6100,Miles D. White,Chairman & Chief Executive Officer,"100 Abbott Park Rd., Abbott Park, IL 60064",ABT,Abbott Laboratories,20853,52666,1400
2017,111,AbbVie,http://www.abbvie.com,30000,Health Care,Pharmaceuticals,"North Chicago, IL",1 N. Waukegan Rd.,North Chicago,IL,60064,847-932-7900,Richard A. Gonzalez,Chairman & Chief Executive Officer,"1 N. Waukegan Rd., North Chicago, IL 60064",ABBV,AbbVie Inc.,25638,5953,66099
2015,146,AbbVie,http://www.abbvie.com,30000,Health Care,Pharmaceuticals,"North Chicago, IL",1 N. Waukegan Rd.,North Chicago,IL,60064,847-932-7900,Richard A. Gonzalez,Chairman & Chief Executive Officer,"1 N. Waukegan Rd., North Chicago, IL 60064",ABBV,AbbVie,25638,66099,5953
2017,500,ABM Industries,http://www.abm.com,110000,Business Services,Diversified Outsourcing Services,"New York, NY",1 Liberty Plaza,New York,NY,10006,212-297-0200,Scott B. Salmirs,"President, Chief Executive Officer & Director","1 Liberty Plaza, New York, NY 10006",ABM,ABM Industries Incorporated,5145,57.2,2281
2017,406,Activision Blizzard,http://www.activisionblizzard.com,9500,Technology,Computer Software,"Santa Monica, CA",3100 Ocean Park Blvd.,Santa Monica,CA,90405,310-255-2000,Robert A. Kotick,"President, Chief Executive Officer & Director","3100 Ocean Park Blvd., Santa Monica, CA 90405",ATVI,"Activision Blizzard, Inc.",6608,966,17452
2017,443,Adobe Systems,http://www.adobe.com,15706,Technology,Computer Software,"San Jose, CA",345 Park Ave.,San Jose,CA,95110,408-536-6000,Shantanu Narayen,"Chairman, President & Chief Executive Officer","345 Park Ave., San Jose, CA 95110",ADBE,Adobe Systems Incorporated,5854,1168.8,12707
2017,240,ADP,http://www.adp.com,57000,Business Services,Diversified Outsourcing Services,"Roseland, NJ",1 ADP Blvd.,Roseland,NJ,7068,973-974-5000,Carlos A. Rodriguez,"President, Chief Executive Officer & Director","1 ADP Blvd., Roseland, NJ 07068",ADP,"Automatic Data Processing, Inc.",11668,1492.5,43670
